term,estimate,se,nct_id,model_n,outcome
armtreat:sexTRUE,-1.373,0.56,NCT00207662,8,early_withdrawal
armtreat:como_cnt,0.473,0.243,NCT00207662,8,early_withdrawal
(Intercept),-1.855,0.573,NCT00207662,9,early_withdrawal
armtreat,-0.082,0.83,NCT00207662,9,early_withdrawal
age_std,-0.397,0.247,NCT00207662,9,early_withdrawal
sexTRUE,0.352,0.354,NCT00207662,9,early_withdrawal
como_cnt,-0.102,0.358,NCT00207662,9,early_withdrawal
I(como_cnt^2),0.025,0.089,NCT00207662,9,early_withdrawal
armtreat:age_std,0.209,0.367,NCT00207662,9,early_withdrawal
armtreat:sexTRUE,-1.351,0.564,NCT00207662,9,early_withdrawal
armtreat:como_cnt,0.37,0.56,NCT00207662,9,early_withdrawal
armtreat:I(como_cnt^2),0.03,0.145,NCT00207662,9,early_withdrawal
(Intercept),-1.916,0.457,NCT00207662,10,early_withdrawal
armtreat,0.8,0.633,NCT00207662,10,early_withdrawal
age_std,-0.398,0.235,NCT00207662,10,early_withdrawal
sexTRUE,0.374,0.344,NCT00207662,10,early_withdrawal
armtreat:age_std,0.416,0.341,NCT00207662,10,early_withdrawal
armtreat:sexTRUE,-1.384,0.552,NCT00207662,10,early_withdrawal
(Intercept),-1.942,0.46,NCT00207662,11,early_withdrawal
age_std,-0.439,0.518,NCT00207662,11,early_withdrawal
I(age_std^2),-0.064,0.179,NCT00207662,11,early_withdrawal
sexTRUE,-0.172,0.258,NCT00207662,11,early_withdrawal
como_cnt,0.19,0.117,NCT00207662,11,early_withdrawal
(Intercept),-1.89,0.47,NCT00207662,12,early_withdrawal
age_std,-0.477,0.53,NCT00207662,12,early_withdrawal
I(age_std^2),-0.073,0.182,NCT00207662,12,early_withdrawal
sexTRUE,-0.195,0.26,NCT00207662,12,early_withdrawal
como_cnt,0.017,0.261,NCT00207662,12,early_withdrawal
I(como_cnt^2),0.049,0.066,NCT00207662,12,early_withdrawal
(Intercept),-1.453,0.49,NCT00207662,13,early_withdrawal
age_std,-0.385,0.516,NCT00207662,13,early_withdrawal
I(age_std^2),-0.038,0.178,NCT00207662,13,early_withdrawal
sexTRUE,-0.204,0.262,NCT00207662,13,early_withdrawal
como_cnt,-0.06,0.165,NCT00207662,13,early_withdrawal
armtreat,-1.049,0.391,NCT00207662,13,early_withdrawal
como_cnt:armtreat,0.546,0.232,NCT00207662,13,early_withdrawal
(Intercept),-1.411,0.514,NCT00207662,14,early_withdrawal
age_std,-0.428,0.532,NCT00207662,14,early_withdrawal
I(age_std^2),-0.048,0.182,NCT00207662,14,early_withdrawal
sexTRUE,-0.225,0.265,NCT00207662,14,early_withdrawal
armtreat,-1.014,0.445,NCT00207662,14,early_withdrawal
como_cnt,-0.242,0.352,NCT00207662,14,early_withdrawal
I(como_cnt^2),0.053,0.088,NCT00207662,14,early_withdrawal
armtreat:como_cnt,0.5,0.549,NCT00207662,14,early_withdrawal
armtreat:I(como_cnt^2),0.012,0.141,NCT00207662,14,early_withdrawal
(Intercept),-1.551,0.378,NCT00207662,15,early_withdrawal
age_std,-0.303,0.504,NCT00207662,15,early_withdrawal
I(age_std^2),-0.044,0.176,NCT00207662,15,early_withdrawal
sexTRUE,-0.203,0.256,NCT00207662,15,early_withdrawal
(Intercept),-2.62,0.721,NCT00207662,16,early_withdrawal
armtreat,1.179,0.827,NCT00207662,16,early_withdrawal
age_std,-1.024,0.882,NCT00207662,16,early_withdrawal
I(age_std^2),-0.186,0.292,NCT00207662,16,early_withdrawal
sexTRUE,0.431,0.348,NCT00207662,16,early_withdrawal
como_cnt,0.213,0.119,NCT00207662,16,early_withdrawal
armtreat:age_std,1.098,1.103,NCT00207662,16,early_withdrawal
armtreat:I(age_std^2),0.238,0.38,NCT00207662,16,early_withdrawal
armtreat:sexTRUE,-1.438,0.557,NCT00207662,16,early_withdrawal
(Intercept),-2.596,0.73,NCT00207662,17,early_withdrawal
armtreat,1.189,0.834,NCT00207662,17,early_withdrawal
age_std,-1.069,0.895,NCT00207662,17,early_withdrawal
I(age_std^2),-0.198,0.296,NCT00207662,17,early_withdrawal
sexTRUE,0.406,0.353,NCT00207662,17,early_withdrawal
como_cnt,0.103,0.267,NCT00207662,17,early_withdrawal
I(como_cnt^2),0.031,0.067,NCT00207662,17,early_withdrawal
armtreat:age_std,1.125,1.115,NCT00207662,17,early_withdrawal
armtreat:I(age_std^2),0.246,0.383,NCT00207662,17,early_withdrawal
armtreat:sexTRUE,-1.411,0.56,NCT00207662,17,early_withdrawal
(Intercept),-2.087,0.735,NCT00207662,18,early_withdrawal
armtreat,0.152,0.975,NCT00207662,18,early_withdrawal
age_std,-0.744,0.86,NCT00207662,18,early_withdrawal
I(age_std^2),-0.123,0.285,NCT00207662,18,early_withdrawal
sexTRUE,0.368,0.348,NCT00207662,18,early_withdrawal
como_cnt,-0,0.167,NCT00207662,18,early_withdrawal
armtreat:age_std,0.719,1.102,NCT00207662,18,early_withdrawal
armtreat:I(age_std^2),0.178,0.376,NCT00207662,18,early_withdrawal
armtreat:sexTRUE,-1.377,0.561,NCT00207662,18,early_withdrawal
armtreat:como_cnt,0.462,0.245,NCT00207662,18,early_withdrawal
(Intercept),-2.056,0.746,NCT00207662,19,early_withdrawal
armtreat,0.171,0.992,NCT00207662,19,early_withdrawal
age_std,-0.77,0.87,NCT00207662,19,early_withdrawal
I(age_std^2),-0.13,0.288,NCT00207662,19,early_withdrawal
sexTRUE,0.347,0.354,NCT00207662,19,early_withdrawal
como_cnt,-0.101,0.357,NCT00207662,19,early_withdrawal
I(como_cnt^2),0.029,0.089,NCT00207662,19,early_withdrawal
armtreat:age_std,0.707,1.124,NCT00207662,19,early_withdrawal
armtreat:I(age_std^2),0.178,0.382,NCT00207662,19,early_withdrawal
armtreat:sexTRUE,-1.352,0.565,NCT00207662,19,early_withdrawal
armtreat:como_cnt,0.374,0.56,NCT00207662,19,early_withdrawal
armtreat:I(como_cnt^2),0.026,0.145,NCT00207662,19,early_withdrawal
(Intercept),-2.088,0.626,NCT00207662,20,early_withdrawal
armtreat,1.029,0.803,NCT00207662,20,early_withdrawal
age_std,-0.744,0.837,NCT00207662,20,early_withdrawal
I(age_std^2),-0.123,0.282,NCT00207662,20,early_withdrawal
sexTRUE,0.368,0.344,NCT00207662,20,early_withdrawal
armtreat:age_std,0.902,1.076,NCT00207662,20,early_withdrawal
armtreat:I(age_std^2),0.177,0.373,NCT00207662,20,early_withdrawal
armtreat:sexTRUE,-1.385,0.554,NCT00207662,20,early_withdrawal
(Intercept),-1.455,0.184,NCT00207662,21,early_withdrawal
como_cnt,0.135,0.109,NCT00207662,21,early_withdrawal
(Intercept),-1.405,0.21,NCT00207662,22,early_withdrawal
como_cnt,0.024,0.257,NCT00207662,22,early_withdrawal
I(como_cnt^2),0.031,0.064,NCT00207662,22,early_withdrawal
(Intercept),-1.006,0.241,NCT00207662,23,early_withdrawal
como_cnt,-0.107,0.156,NCT00207662,23,early_withdrawal
armtreat,-1.008,0.385,NCT00207662,23,early_withdrawal
como_cnt:armtreat,0.531,0.227,NCT00207662,23,early_withdrawal
(Intercept),-0.959,0.27,NCT00207662,24,early_withdrawal
armtreat,-0.973,0.44,NCT00207662,24,early_withdrawal
como_cnt,-0.222,0.346,NCT00207662,24,early_withdrawal
I(como_cnt^2),0.033,0.087,NCT00207662,24,early_withdrawal
armtreat:como_cnt,0.477,0.542,NCT00207662,24,early_withdrawal
armtreat:I(como_cnt^2),0.014,0.139,NCT00207662,24,early_withdrawal
(Intercept),-1.947,0.373,NCT00207662,25,early_withdrawal
age_std,-0.273,0.175,NCT00207662,25,early_withdrawal
como_cnt,0.193,0.116,NCT00207662,25,early_withdrawal
(Intercept),-1.902,0.38,NCT00207662,26,early_withdrawal
age_std,-0.284,0.177,NCT00207662,26,early_withdrawal
como_cnt,0.048,0.258,NCT00207662,26,early_withdrawal
I(como_cnt^2),0.041,0.065,NCT00207662,26,early_withdrawal
(Intercept),-1.518,0.402,NCT00207662,27,early_withdrawal
age_std,-0.29,0.178,NCT00207662,27,early_withdrawal
como_cnt,-0.05,0.162,NCT00207662,27,early_withdrawal
armtreat,-1.036,0.389,NCT00207662,27,early_withdrawal
como_cnt:armtreat,0.541,0.23,NCT00207662,27,early_withdrawal
(Intercept),-1.486,0.417,NCT00207662,28,early_withdrawal
age_std,-0.305,0.18,NCT00207662,28,early_withdrawal
armtreat,-0.986,0.441,NCT00207662,28,early_withdrawal
como_cnt,-0.191,0.346,NCT00207662,28,early_withdrawal
I(como_cnt^2),0.041,0.087,NCT00207662,28,early_withdrawal
armtreat:como_cnt,0.458,0.543,NCT00207662,28,early_withdrawal
armtreat:I(como_cnt^2),0.023,0.139,NCT00207662,28,early_withdrawal
(Intercept),-1.585,0.292,NCT00207662,29,early_withdrawal
age_std,-0.187,0.166,NCT00207662,29,early_withdrawal
(Intercept),-2.087,0.472,NCT00207662,30,early_withdrawal
armtreat,0.284,0.583,NCT00207662,30,early_withdrawal
age_std,-0.469,0.238,NCT00207662,30,early_withdrawal
como_cnt,0.194,0.117,NCT00207662,30,early_withdrawal
armtreat:age_std,0.405,0.334,NCT00207662,30,early_withdrawal
(Intercept),-2.049,0.477,NCT00207662,31,early_withdrawal
armtreat,0.299,0.585,NCT00207662,31,early_withdrawal
age_std,-0.483,0.24,NCT00207662,31,early_withdrawal
como_cnt,0.05,0.26,NCT00207662,31,early_withdrawal
I(como_cnt^2),0.041,0.065,NCT00207662,31,early_withdrawal
armtreat:age_std,0.411,0.335,NCT00207662,31,early_withdrawal
(Intercept),-1.658,0.501,NCT00207662,32,early_withdrawal
armtreat,-0.718,0.766,NCT00207662,32,early_withdrawal
age_std,-0.368,0.242,NCT00207662,32,early_withdrawal
como_cnt,-0.036,0.165,NCT00207662,32,early_withdrawal
armtreat:age_std,0.171,0.357,NCT00207662,32,early_withdrawal
armtreat:como_cnt,0.504,0.242,NCT00207662,32,early_withdrawal
(Intercept),-1.614,0.509,NCT00207662,33,early_withdrawal
armtreat,-0.696,0.78,NCT00207662,33,early_withdrawal
age_std,-0.377,0.244,NCT00207662,33,early_withdrawal
como_cnt,-0.185,0.347,NCT00207662,33,early_withdrawal
I(como_cnt^2),0.043,0.087,NCT00207662,33,early_withdrawal
armtreat:age_std,0.162,0.362,NCT00207662,33,early_withdrawal
armtreat:como_cnt,0.449,0.543,NCT00207662,33,early_withdrawal
armtreat:I(como_cnt^2),0.015,0.14,NCT00207662,33,early_withdrawal
(Intercept),-1.721,0.412,NCT00207662,34,early_withdrawal
armtreat,0.275,0.584,NCT00207662,34,early_withdrawal
age_std,-0.382,0.233,NCT00207662,34,early_withdrawal
armtreat:age_std,0.4,0.334,NCT00207662,34,early_withdrawal
(Intercept),-2.03,0.444,NCT00207662,35,early_withdrawal
age_std,-0.447,0.518,NCT00207662,35,early_withdrawal
I(age_std^2),-0.065,0.179,NCT00207662,35,early_withdrawal
como_cnt,0.196,0.117,NCT00207662,35,early_withdrawal
(Intercept),-1.994,0.452,NCT00207662,36,early_withdrawal
age_std,-0.483,0.529,NCT00207662,36,early_withdrawal
I(age_std^2),-0.073,0.181,NCT00207662,36,early_withdrawal
como_cnt,0.045,0.258,NCT00207662,36,early_withdrawal
I(como_cnt^2),0.043,0.065,NCT00207662,36,early_withdrawal
(Intercept),-1.57,0.468,NCT00207662,37,early_withdrawal
age_std,-0.396,0.515,NCT00207662,37,early_withdrawal
I(age_std^2),-0.039,0.178,NCT00207662,37,early_withdrawal
como_cnt,-0.047,0.162,NCT00207662,37,early_withdrawal
armtreat,-1.033,0.389,NCT00207662,37,early_withdrawal
como_cnt:armtreat,0.538,0.23,NCT00207662,37,early_withdrawal
(Intercept),-1.552,0.488,NCT00207662,38,early_withdrawal
age_std,-0.439,0.531,NCT00207662,38,early_withdrawal
I(age_std^2),-0.049,0.182,NCT00207662,38,early_withdrawal
armtreat,-0.979,0.442,NCT00207662,38,early_withdrawal
como_cnt,-0.189,0.346,NCT00207662,38,early_withdrawal
I(como_cnt^2),0.041,0.087,NCT00207662,38,early_withdrawal
armtreat:como_cnt,0.449,0.544,NCT00207662,38,early_withdrawal
armtreat:I(como_cnt^2),0.024,0.14,NCT00207662,38,early_withdrawal
(Intercept),-1.636,0.363,NCT00207662,39,early_withdrawal
age_std,-0.305,0.503,NCT00207662,39,early_withdrawal
I(age_std^2),-0.044,0.176,NCT00207662,39,early_withdrawal
(Intercept),-2.368,0.668,NCT00207662,40,early_withdrawal
armtreat,0.553,0.766,NCT00207662,40,early_withdrawal
age_std,-1.002,0.863,NCT00207662,40,early_withdrawal
I(age_std^2),-0.189,0.288,NCT00207662,40,early_withdrawal
como_cnt,0.204,0.118,NCT00207662,40,early_withdrawal
armtreat:age_std,0.954,1.066,NCT00207662,40,early_withdrawal
armtreat:I(age_std^2),0.197,0.37,NCT00207662,40,early_withdrawal
(Intercept),-2.352,0.678,NCT00207662,41,early_withdrawal
armtreat,0.588,0.777,NCT00207662,41,early_withdrawal
age_std,-1.061,0.88,NCT00207662,41,early_withdrawal
I(age_std^2),-0.204,0.292,NCT00207662,41,early_withdrawal
como_cnt,0.048,0.26,NCT00207662,41,early_withdrawal
I(como_cnt^2),0.044,0.066,NCT00207662,41,early_withdrawal
armtreat:age_std,0.992,1.081,NCT00207662,41,early_withdrawal
armtreat:I(age_std^2),0.207,0.374,NCT00207662,41,early_withdrawal
(Intercept),-1.853,0.682,NCT00207662,42,early_withdrawal
armtreat,-0.511,0.92,NCT00207662,42,early_withdrawal
age_std,-0.726,0.841,NCT00207662,42,early_withdrawal
I(age_std^2),-0.126,0.28,NCT00207662,42,early_withdrawal
como_cnt,-0.025,0.167,NCT00207662,42,early_withdrawal
armtreat:age_std,0.562,1.064,NCT00207662,42,early_withdrawal
armtreat:I(age_std^2),0.139,0.366,NCT00207662,42,early_withdrawal
armtreat:como_cnt,0.493,0.243,NCT00207662,42,early_withdrawal
(Intercept),-1.823,0.692,NCT00207662,43,early_withdrawal
armtreat,-0.483,0.937,NCT00207662,43,early_withdrawal
age_std,-0.763,0.856,NCT00207662,43,early_withdrawal
I(age_std^2),-0.135,0.284,NCT00207662,43,early_withdrawal
como_cnt,-0.181,0.346,NCT00207662,43,early_withdrawal
I(como_cnt^2),0.046,0.087,NCT00207662,43,early_withdrawal
armtreat:age_std,0.56,1.088,NCT00207662,43,early_withdrawal
armtreat:I(age_std^2),0.14,0.371,NCT00207662,43,early_withdrawal
armtreat:como_cnt,0.446,0.544,NCT00207662,43,early_withdrawal
armtreat:I(como_cnt^2),0.013,0.14,NCT00207662,43,early_withdrawal
(Intercept),-1.905,0.59,NCT00207662,44,early_withdrawal
armtreat,0.466,0.752,NCT00207662,44,early_withdrawal
age_std,-0.753,0.824,NCT00207662,44,early_withdrawal
I(age_std^2),-0.133,0.278,NCT00207662,44,early_withdrawal
armtreat:age_std,0.789,1.042,NCT00207662,44,early_withdrawal
armtreat:I(age_std^2),0.14,0.363,NCT00207662,44,early_withdrawal
(Intercept),-1.373,0.213,NCT00207662,45,early_withdrawal
sexTRUE,-0.193,0.257,NCT00207662,45,early_withdrawal
como_cnt,0.131,0.11,NCT00207662,45,early_withdrawal
(Intercept),-1.305,0.241,NCT00207662,46,early_withdrawal
sexTRUE,-0.211,0.259,NCT00207662,46,early_withdrawal
como_cnt,-0.004,0.259,NCT00207662,46,early_withdrawal
I(como_cnt^2),0.037,0.065,NCT00207662,46,early_withdrawal
(Intercept),-0.895,0.271,NCT00207662,47,early_withdrawal
sexTRUE,-0.23,0.26,NCT00207662,47,early_withdrawal
como_cnt,-0.119,0.159,NCT00207662,47,early_withdrawal
armtreat,-1.029,0.387,NCT00207662,47,early_withdrawal
como_cnt:armtreat,0.541,0.229,NCT00207662,47,early_withdrawal
(Intercept),-0.822,0.305,NCT00207662,48,early_withdrawal
sexTRUE,-0.248,0.264,NCT00207662,48,early_withdrawal
armtreat,-1.016,0.444,NCT00207662,48,early_withdrawal
como_cnt,-0.28,0.352,NCT00207662,48,early_withdrawal
I(como_cnt^2),0.046,0.088,NCT00207662,48,early_withdrawal
armtreat:como_cnt,0.539,0.548,NCT00207662,48,early_withdrawal
armtreat:I(como_cnt^2),-0,0.141,NCT00207662,48,early_withdrawal
(Intercept),-1.21,0.16,NCT00207662,49,early_withdrawal
sexTRUE,-0.208,0.256,NCT00207662,49,early_withdrawal
(Intercept),-1.46,0.278,NCT00207662,50,early_withdrawal
sexTRUE,0.369,0.342,NCT00207662,50,early_withdrawal
armtreat,0.152,0.321,NCT00207662,50,early_withdrawal
como_cnt,0.137,0.11,NCT00207662,50,early_withdrawal
sexTRUE:armtreat,-1.372,0.551,NCT00207662,50,early_withdrawal
(Intercept),-1.427,0.308,NCT00207662,51,early_withdrawal
sexTRUE,0.354,0.347,NCT00207662,51,early_withdrawal
armtreat,0.147,0.322,NCT00207662,51,early_withdrawal
como_cnt,0.078,0.265,NCT00207662,51,early_withdrawal
I(como_cnt^2),0.016,0.065,NCT00207662,51,early_withdrawal
sexTRUE:armtreat,-1.357,0.555,NCT00207662,51,early_withdrawal
(Intercept),-1.17,0.301,NCT00207662,52,early_withdrawal
sexTRUE,0.322,0.343,NCT00207662,52,early_withdrawal
armtreat,-0.52,0.44,NCT00207662,52,early_withdrawal
como_cnt,-0.092,0.155,NCT00207662,52,early_withdrawal
sexTRUE:armtreat,-1.338,0.556,NCT00207662,52,early_withdrawal
armtreat:como_cnt,0.521,0.23,NCT00207662,52,early_withdrawal
(Intercept),-1.139,0.343,NCT00207662,53,early_withdrawal
sexTRUE,0.309,0.35,NCT00207662,53,early_withdrawal
armtreat,-0.477,0.504,NCT00207662,53,early_withdrawal
como_cnt,-0.152,0.356,NCT00207662,53,early_withdrawal
I(como_cnt^2),0.017,0.089,NCT00207662,53,early_withdrawal
sexTRUE:armtreat,-1.322,0.561,NCT00207662,53,early_withdrawal
armtreat:como_cnt,0.427,0.558,NCT00207662,53,early_withdrawal
armtreat:I(como_cnt^2),0.027,0.143,NCT00207662,53,early_withdrawal
(Intercept),-1.283,0.236,NCT00207662,54,early_withdrawal
sexTRUE,0.341,0.341,NCT00207662,54,early_withdrawal
armtreat,0.138,0.32,NCT00207662,54,early_withdrawal
sexTRUE:armtreat,-1.351,0.55,NCT00207662,54,early_withdrawal
(Intercept),-3.056,0.598,NCT00207766,1,early_withdrawal
age_std,-0.27,0.26,NCT00207766,1,early_withdrawal
sexTRUE,0.619,0.386,NCT00207766,1,early_withdrawal
como_cnt,0.28,0.171,NCT00207766,1,early_withdrawal
(Intercept),-3.308,0.645,NCT00207766,2,early_withdrawal
age_std,-0.277,0.262,NCT00207766,2,early_withdrawal
sexTRUE,0.626,0.384,NCT00207766,2,early_withdrawal
como_cnt,0.809,0.48,NCT00207766,2,early_withdrawal
I(como_cnt^2),-0.159,0.143,NCT00207766,2,early_withdrawal
(Intercept),-2.837,0.674,NCT00207766,3,early_withdrawal
age_std,-0.257,0.263,NCT00207766,3,early_withdrawal
sexTRUE,0.617,0.386,NCT00207766,3,early_withdrawal
como_cnt,0.204,0.248,NCT00207766,3,early_withdrawal
armtreat,-0.405,0.569,NCT00207766,3,early_withdrawal
como_cnt:armtreat,0.141,0.326,NCT00207766,3,early_withdrawal
(Intercept),-3.332,0.791,NCT00207766,4,early_withdrawal
age_std,-0.283,0.266,NCT00207766,4,early_withdrawal
sexTRUE,0.633,0.386,NCT00207766,4,early_withdrawal
armtreat,-0.121,0.742,NCT00207766,4,early_withdrawal
como_cnt,1.286,0.825,NCT00207766,4,early_withdrawal
I(como_cnt^2),-0.367,0.276,NCT00207766,4,early_withdrawal
armtreat:como_cnt,-0.629,0.988,NCT00207766,4,early_withdrawal
armtreat:I(como_cnt^2),0.287,0.308,NCT00207766,4,early_withdrawal
(Intercept),-2.494,0.466,NCT00207766,5,early_withdrawal
age_std,-0.164,0.251,NCT00207766,5,early_withdrawal
sexTRUE,0.505,0.376,NCT00207766,5,early_withdrawal
(Intercept),-3.362,0.751,NCT00207766,6,early_withdrawal
armtreat,0.566,0.949,NCT00207766,6,early_withdrawal
age_std,-0.612,0.354,NCT00207766,6,early_withdrawal
sexTRUE,0.373,0.511,NCT00207766,6,early_withdrawal
como_cnt,0.301,0.172,NCT00207766,6,early_withdrawal
armtreat:age_std,0.745,0.515,NCT00207766,6,early_withdrawal
armtreat:sexTRUE,0.491,0.773,NCT00207766,6,early_withdrawal
(Intercept),-3.665,0.81,NCT00207766,7,early_withdrawal
armtreat,0.687,0.967,NCT00207766,7,early_withdrawal
age_std,-0.635,0.361,NCT00207766,7,early_withdrawal
sexTRUE,0.401,0.512,NCT00207766,7,early_withdrawal
como_cnt,0.839,0.492,NCT00207766,7,early_withdrawal
I(como_cnt^2),-0.165,0.149,NCT00207766,7,early_withdrawal
armtreat:age_std,0.78,0.523,NCT00207766,7,early_withdrawal
armtreat:sexTRUE,0.438,0.773,NCT00207766,7,early_withdrawal
(Intercept),-3.282,0.857,NCT00207766,8,early_withdrawal
armtreat,0.422,1.216,NCT00207766,8,early_withdrawal
age_std,-0.595,0.365,NCT00207766,8,early_withdrawal
sexTRUE,0.36,0.514,NCT00207766,8,early_withdrawal
como_cnt,0.265,0.257,NCT00207766,8,early_withdrawal
armtreat:age_std,0.72,0.533,NCT00207766,8,early_withdrawal
armtreat:sexTRUE,0.523,0.791,NCT00207766,8,early_withdrawal
armtreat:como_cnt,0.066,0.346,NCT00207766,8,early_withdrawal
(Intercept),-3.861,0.984,NCT00207766,9,early_withdrawal
armtreat,0.862,1.336,NCT00207766,9,early_withdrawal
age_std,-0.652,0.377,NCT00207766,9,early_withdrawal
sexTRUE,0.394,0.518,NCT00207766,9,early_withdrawal
como_cnt,1.436,0.855,NCT00207766,9,early_withdrawal
I(como_cnt^2),-0.405,0.289,NCT00207766,9,early_withdrawal
armtreat:age_std,0.773,0.542,NCT00207766,9,early_withdrawal
armtreat:sexTRUE,0.476,0.789,NCT00207766,9,early_withdrawal
armtreat:como_cnt,-0.812,1.024,NCT00207766,9,early_withdrawal
armtreat:I(como_cnt^2),0.326,0.322,NCT00207766,9,early_withdrawal
(Intercept),-2.742,0.646,NCT00207766,10,early_withdrawal
armtreat,0.524,0.948,NCT00207766,10,early_withdrawal
age_std,-0.48,0.348,NCT00207766,10,early_withdrawal
sexTRUE,0.275,0.505,NCT00207766,10,early_withdrawal
armtreat:age_std,0.694,0.514,NCT00207766,10,early_withdrawal
armtreat:sexTRUE,0.434,0.767,NCT00207766,10,early_withdrawal
(Intercept),-2.659,0.716,NCT00207766,11,early_withdrawal
age_std,0.54,0.898,NCT00207766,11,early_withdrawal
I(age_std^2),0.299,0.32,NCT00207766,11,early_withdrawal
sexTRUE,0.598,0.388,NCT00207766,11,early_withdrawal
como_cnt,0.271,0.171,NCT00207766,11,early_withdrawal
(Intercept),-2.86,0.733,NCT00207766,12,early_withdrawal
age_std,0.753,0.914,NCT00207766,12,early_withdrawal
I(age_std^2),0.381,0.328,NCT00207766,12,early_withdrawal
sexTRUE,0.615,0.386,NCT00207766,12,early_withdrawal
como_cnt,0.893,0.498,NCT00207766,12,early_withdrawal
I(como_cnt^2),-0.189,0.149,NCT00207766,12,early_withdrawal
(Intercept),-2.427,0.785,NCT00207766,13,early_withdrawal
age_std,0.56,0.904,NCT00207766,13,early_withdrawal
I(age_std^2),0.3,0.32,NCT00207766,13,early_withdrawal
sexTRUE,0.598,0.388,NCT00207766,13,early_withdrawal
como_cnt,0.182,0.247,NCT00207766,13,early_withdrawal
armtreat,-0.415,0.567,NCT00207766,13,early_withdrawal
como_cnt:armtreat,0.165,0.324,NCT00207766,13,early_withdrawal
(Intercept),-2.878,0.848,NCT00207766,14,early_withdrawal
age_std,0.904,0.917,NCT00207766,14,early_withdrawal
I(age_std^2),0.441,0.331,NCT00207766,14,early_withdrawal
sexTRUE,0.636,0.389,NCT00207766,14,early_withdrawal
armtreat,-0.045,0.751,NCT00207766,14,early_withdrawal
como_cnt,1.479,0.852,NCT00207766,14,early_withdrawal
I(como_cnt^2),-0.437,0.285,NCT00207766,14,early_withdrawal
armtreat:como_cnt,-0.801,1.014,NCT00207766,14,early_withdrawal
armtreat:I(como_cnt^2),0.352,0.319,NCT00207766,14,early_withdrawal
(Intercept),-2.066,0.595,NCT00207766,15,early_withdrawal
age_std,0.73,0.894,NCT00207766,15,early_withdrawal
I(age_std^2),0.329,0.32,NCT00207766,15,early_withdrawal
sexTRUE,0.48,0.377,NCT00207766,15,early_withdrawal
(Intercept),-2.708,0.902,NCT00207766,16,early_withdrawal
armtreat,-0.116,1.233,NCT00207766,16,early_withdrawal
age_std,0.659,1.175,NCT00207766,16,early_withdrawal
